FiscalYear,Actual_ReEstimated_Budget,AEA,Dist,DE_District,District Name,Column Name,Fund,Source,Expenditures Per Pupil,Amount,Enrollment Category,Enrollment Category Number
2017,Actual,13,0441,0441,AHSTW,genendfb,General,Ending Fund Balance,2420,1899544,600-999,3
2017,Actual,11,0018,0018,Adair-Casey,geninstr,General,Instruction,9437,2915182,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,genstudsupp,General,Student Support Services,197,60994,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,geninstrsupp,General,Instructional Staff Support Services,661,204195,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,gengenadmin,General,General Administration,207,63843,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,genbldgadmin,General,School/Building Administration,557,171947,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,gencentraladmin,General,Business & Central Administration,314,96942,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,genopermtnc,General,Plant Operation and Maintenance,822,253883,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,gentransp,General,Student Transportation,757,233791,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,genaeaflow,General,AEA Support - Direct to AEA,425,131136,300-599,2
2017,Actual,11,0018,0018,Adair-Casey,genendfb,General,Ending Fund Balance,4595,1419451,300-599,2
2017,Actual,11,0027,0027,Adel DeSoto Minburn,geninstr,General,Instruction,7174,11256504,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,genstudsupp,General,Student Support Services,317,498074,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,geninstrsupp,General,Instructional Staff Support Services,755,1184478,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,gengenadmin,General,General Administration,320,502001,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,genbldgadmin,General,School/Building Administration,696,1092595,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,gencentraladmin,General,Business & Central Administration,299,469582,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,genopermtnc,General,Plant Operation and Maintenance,1058,1660265,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,gentransp,General,Student Transportation,443,695168,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,genaeaflow,General,AEA Support - Direct to AEA,404,634483,"1,000-2,499",4
2017,Actual,11,0027,0027,Adel DeSoto Minburn,genendfb,General,Ending Fund Balance,2039,3199918,"1,000-2,499",4
2017,Actual,12,0063,0063,Akron Westfield,geninstr,General,Instruction,8339,4302923,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,genstudsupp,General,Student Support Services,335,173063,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,geninstrsupp,General,Instructional Staff Support Services,595,307028,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,gengenadmin,General,General Administration,536,276706,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,genbldgadmin,General,School/Building Administration,700,361080,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,gencentraladmin,General,Business & Central Administration,443,228808,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,genopermtnc,General,Plant Operation and Maintenance,930,479763,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,gentransp,General,Student Transportation,623,321565,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,genaeaflow,General,AEA Support - Direct to AEA,425,219524,300-599,2
2017,Actual,12,0063,0063,Akron Westfield,genendfb,General,Ending Fund Balance,3000,1547787,300-599,2
2017,Actual,05,0072,0072,Albert City-Truesdale,geninstr,General,Instruction,9126,1843417,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,genstudsupp,General,Student Support Services,97,19660,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,geninstrsupp,General,Instructional Staff Support Services,131,26377,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,gengenadmin,General,General Administration,273,55091,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,genbldgadmin,General,School/Building Administration,740,149503,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,gencentraladmin,General,Business & Central Administration,122,24591,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,genopermtnc,General,Plant Operation and Maintenance,704,142144,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,gentransp,General,Student Transportation,620,125337,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,genaeaflow,General,AEA Support - Direct to AEA,442,89367,<300,1
2017,Actual,05,0072,0072,Albert City-Truesdale,genendfb,General,Ending Fund Balance,2004,404790,<300,1
2017,Actual,15,0081,0081,Albia,geninstr,General,Instruction,7048,8506189,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,genstudsupp,General,Student Support Services,150,180892,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,geninstrsupp,General,Instructional Staff Support Services,613,740206,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,gengenadmin,General,General Administration,189,228622,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,genbldgadmin,General,School/Building Administration,640,771940,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,gencentraladmin,General,Business & Central Administration,178,215392,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,genopermtnc,General,Plant Operation and Maintenance,792,955294,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,gentransp,General,Student Transportation,399,481953,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,genaeaflow,General,AEA Support - Direct to AEA,410,494686,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,genotherfin,General,Transfers Out/Special Items/Down Adj,136,164033,"1,000-2,499",4
2017,Actual,15,0081,0081,Albia,genendfb,General,Ending Fund Balance,2284,2756230,"1,000-2,499",4
2017,Actual,10,0099,0099,Alburnett,geninstr,General,Instruction,8564,4422485,300-599,2
2017,Actual,10,0099,0099,Alburnett,genstudsupp,General,Student Support Services,505,260774,300-599,2
2017,Actual,10,0099,0099,Alburnett,geninstrsupp,General,Instructional Staff Support Services,203,104831,300-599,2
2017,Actual,10,0099,0099,Alburnett,gengenadmin,General,General Administration,708,365742,300-599,2
2017,Actual,10,0099,0099,Alburnett,genbldgadmin,General,School/Building Administration,639,329894,300-599,2
2017,Actual,10,0099,0099,Alburnett,gencentraladmin,General,Business & Central Administration,239,123197,300-599,2
2017,Actual,10,0099,0099,Alburnett,genopermtnc,General,Plant Operation and Maintenance,937,483976,300-599,2
2017,Actual,10,0099,0099,Alburnett,gentransp,General,Student Transportation,651,336355,300-599,2
2017,Actual,10,0099,0099,Alburnett,genaeaflow,General,AEA Support - Direct to AEA,412,212742,300-599,2
2017,Actual,10,0099,0099,Alburnett,genendfb,General,Ending Fund Balance,4713,2433983,300-599,2
2017,Actual,07,0108,0108,Alden,geninstr,General,Instruction,10622,2735248,<300,1
2017,Actual,07,0108,0108,Alden,genstudsupp,General,Student Support Services,302,77887,<300,1
2017,Actual,07,0108,0108,Alden,geninstrsupp,General,Instructional Staff Support Services,631,162517,<300,1
2017,Actual,07,0108,0108,Alden,gengenadmin,General,General Administration,471,121386,<300,1
2017,Actual,07,0108,0108,Alden,genbldgadmin,General,School/Building Administration,693,178444,<300,1
2017,Actual,07,0108,0108,Alden,gencentraladmin,General,Business & Central Administration,173,44640,<300,1
2017,Actual,07,0108,0108,Alden,genopermtnc,General,Plant Operation and Maintenance,949,244267,<300,1
2017,Actual,07,0108,0108,Alden,gentransp,General,Student Transportation,531,136780,<300,1
2017,Actual,07,0108,0108,Alden,genaeaflow,General,AEA Support - Direct to AEA,411,105945,<300,1
2017,Actual,07,0108,0108,Alden,genotherfin,General,Transfers Out/Special Items/Down Adj,17,4431,<300,1
2017,Actual,07,0108,0108,Alden,genendfb,General,Ending Fund Balance,4272,1100072,<300,1
2017,Actual,05,0126,0126,Algona,geninstr,General,Instruction,9527,12607711,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,genstudsupp,General,Student Support Services,210,278243,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,geninstrsupp,General,Instructional Staff Support Services,158,209500,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,gengenadmin,General,General Administration,209,276854,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,genbldgadmin,General,School/Building Administration,621,822363,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,gencentraladmin,General,Business & Central Administration,234,309255,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,genopermtnc,General,Plant Operation and Maintenance,1323,1751039,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,gentransp,General,Student Transportation,502,664701,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,genaeaflow,General,AEA Support - Direct to AEA,478,632518,"1,000-2,499",4
2017,Actual,05,0126,0126,Algona,genendfb,General,Ending Fund Balance,1972,2609303,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,geninstr,General,Instruction,6924,7859834,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,genstudsupp,General,Student Support Services,512,581594,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,geninstrsupp,General,Instructional Staff Support Services,448,508336,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,gengenadmin,General,General Administration,353,400998,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,genbldgadmin,General,School/Building Administration,634,719163,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,gencentraladmin,General,Business & Central Administration,144,163084,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,genopermtnc,General,Plant Operation and Maintenance,958,1087936,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,gentransp,General,Student Transportation,660,749702,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,genaeaflow,General,AEA Support - Direct to AEA,436,494732,"1,000-2,499",4
2017,Actual,01,0135,0135,Allamakee,genendfb,General,Ending Fund Balance,5210,5914118,"1,000-2,499",4
2017,Actual,05,0171,0171,Alta,geninstr,General,Instruction,8773,4684098,300-599,2
2017,Actual,05,0171,0171,Alta,genstudsupp,General,Student Support Services,123,65831,300-599,2
2017,Actual,05,0171,0171,Alta,geninstrsupp,General,Instructional Staff Support Services,323,172238,300-599,2
2017,Actual,05,0171,0171,Alta,gengenadmin,General,General Administration,479,255742,300-599,2
2017,Actual,05,0171,0171,Alta,genbldgadmin,General,School/Building Administration,474,253323,300-599,2
2017,Actual,05,0171,0171,Alta,gencentraladmin,General,Business & Central Administration,118,62819,300-599,2
2017,Actual,05,0171,0171,Alta,genopermtnc,General,Plant Operation and Maintenance,986,526471,300-599,2
2017,Actual,05,0171,0171,Alta,gentransp,General,Student Transportation,469,250561,300-599,2
2017,Actual,05,0171,0171,Alta,genaeaflow,General,AEA Support - Direct to AEA,417,222664,300-599,2
2017,Actual,05,0171,0171,Alta,genotherfin,General,Transfers Out/Special Items/Down Adj,92,49176,300-599,2
2017,Actual,05,0171,0171,Alta,genendfb,General,Ending Fund Balance,3775,2015633,300-599,2
2017,Actual,11,0225,0225,Ames,geninstr,General,Instruction,8293,34673691,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,genstudsupp,General,Student Support Services,444,1856633,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,geninstrsupp,General,Instructional Staff Support Services,712,2976142,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,gengenadmin,General,General Administration,306,1280831,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,genbldgadmin,General,School/Building Administration,605,2529502,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,gencentraladmin,General,Business & Central Administration,493,2061076,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,genopermtnc,General,Plant Operation and Maintenance,777,3247475,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,gentransp,General,Student Transportation,533,2227896,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,gennoninstr,General,Noninstructional Programs,1,5672,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,genaeaflow,General,AEA Support - Direct to AEA,394,1646929,"2,500-7,499",5
2017,Actual,11,0225,0225,Ames,genendfb,General,Ending Fund Balance,1160,4852146,"2,500-7,499",5
2017,Actual,10,0234,0234,Anamosa,geninstr,General,Instruction,7226,8910925,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,genstudsupp,General,Student Support Services,460,567628,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,geninstrsupp,General,Instructional Staff Support Services,781,962605,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,gengenadmin,General,General Administration,239,294820,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,genbldgadmin,General,School/Building Administration,699,862235,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,gencentraladmin,General,Business & Central Administration,177,218332,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,genopermtnc,General,Plant Operation and Maintenance,925,1140453,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,gentransp,General,Student Transportation,467,576099,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,genaeaflow,General,AEA Support - Direct to AEA,417,514136,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,genotherfin,General,Transfers Out/Special Items/Down Adj,66,81524,"1,000-2,499",4
2017,Actual,10,0234,0234,Anamosa,genendfb,General,Ending Fund Balance,2295,2830470,"1,000-2,499",4
2017,Actual,09,0243,0243,Andrew,geninstr,General,Instruction,9367,2353816,<300,1
2017,Actual,09,0243,0243,Andrew,genstudsupp,General,Student Support Services,423,106324,<300,1
2017,Actual,09,0243,0243,Andrew,geninstrsupp,General,Instructional Staff Support Services,121,30334,<300,1
2017,Actual,09,0243,0243,Andrew,gengenadmin,General,General Administration,947,238072,<300,1
2017,Actual,09,0243,0243,Andrew,genbldgadmin,General,School/Building Administration,555,139495,<300,1
2017,Actual,09,0243,0243,Andrew,gencentraladmin,General,Business & Central Administration,119,29793,<300,1
2017,Actual,09,0243,0243,Andrew,genopermtnc,General,Plant Operation and Maintenance,560,140667,<300,1
2017,Actual,09,0243,0243,Andrew,gentransp,General,Student Transportation,591,148413,<300,1
2017,Actual,09,0243,0243,Andrew,genaeaflow,General,AEA Support - Direct to AEA,452,113701,<300,1
2017,Actual,09,0243,0243,Andrew,genotherfin,General,Transfers Out/Special Items/Down Adj,9,2273,<300,1
2017,Actual,09,0243,0243,Andrew,genendfb,General,Ending Fund Balance,4576,1149956,<300,1
2017,Actual,11,0261,0261,Ankeny,geninstr,General,Instruction,6824,73651217,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,genstudsupp,General,Student Support Services,405,4375032,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,geninstrsupp,General,Instructional Staff Support Services,671,7241176,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,gengenadmin,General,General Administration,193,2079369,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,genbldgadmin,General,School/Building Administration,574,6194334,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,gencentraladmin,General,Business & Central Administration,241,2600791,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,genopermtnc,General,Plant Operation and Maintenance,775,8360574,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,gentransp,General,Student Transportation,355,3835116,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,gennoninstr,General,Noninstructional Programs,12,133251,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,genaeaflow,General,AEA Support - Direct to AEA,420,4537074,"7,500+",6
2017,Actual,11,0261,0261,Ankeny,genendfb,General,Ending Fund Balance,1749,18880609,"7,500+",6
2017,Actual,07,0279,0279,Aplington-Parkersburg,geninstr,General,Instruction,7687,6474009,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,genstudsupp,General,Student Support Services,248,208623,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,geninstrsupp,General,Instructional Staff Support Services,311,261976,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,gengenadmin,General,General Administration,268,226056,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,genbldgadmin,General,School/Building Administration,557,469014,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,gencentraladmin,General,Business & Central Administration,150,126605,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,genopermtnc,General,Plant Operation and Maintenance,996,838653,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,gentransp,General,Student Transportation,458,385779,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,genaeaflow,General,AEA Support - Direct to AEA,441,371233,600-999,3
2017,Actual,07,0279,0279,Aplington-Parkersburg,genendfb,General,Ending Fund Balance,1551,1306402,600-999,3
2017,Actual,12,0355,0355,Ar-We-Va,geninstr,General,Instruction,8419,2392802,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,genstudsupp,General,Student Support Services,330,93862,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,geninstrsupp,General,Instructional Staff Support Services,231,65535,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,gengenadmin,General,General Administration,270,76665,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,genbldgadmin,General,School/Building Administration,843,239442,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,gencentraladmin,General,Business & Central Administration,246,69776,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,genopermtnc,General,Plant Operation and Maintenance,659,187165,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,gentransp,General,Student Transportation,595,169013,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,genaeaflow,General,AEA Support - Direct to AEA,464,131985,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,genotherfin,General,Transfers Out/Special Items/Down Adj,6,1628,<300,1
2017,Actual,12,0355,0355,Ar-We-Va,genendfb,General,Ending Fund Balance,2085,592497,<300,1
2017,Actual,13,0387,0387,Atlantic,geninstr,General,Instruction,8461,11866392,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,genstudsupp,General,Student Support Services,389,545624,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,geninstrsupp,General,Instructional Staff Support Services,423,593297,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,gengenadmin,General,General Administration,376,527051,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,genbldgadmin,General,School/Building Administration,679,951667,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,gencentraladmin,General,Business & Central Administration,127,178334,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,genopermtnc,General,Plant Operation and Maintenance,903,1266935,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,gentransp,General,Student Transportation,358,501440,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,genaeaflow,General,AEA Support - Direct to AEA,426,598071,"1,000-2,499",4
2017,Actual,13,0387,0387,Atlantic,genendfb,General,Ending Fund Balance,1179,1654234,"1,000-2,499",4
2017,Actual,11,0414,0414,Audubon,geninstr,General,Instruction,7543,3954045,300-599,2
2017,Actual,11,0414,0414,Audubon,genstudsupp,General,Student Support Services,334,175087,300-599,2
2017,Actual,11,0414,0414,Audubon,geninstrsupp,General,Instructional Staff Support Services,679,355853,300-599,2
2017,Actual,11,0414,0414,Audubon,gengenadmin,General,General Administration,411,215505,300-599,2
2017,Actual,11,0414,0414,Audubon,genbldgadmin,General,School/Building Administration,643,337052,300-599,2
2017,Actual,11,0414,0414,Audubon,gencentraladmin,General,Business & Central Administration,221,115982,300-599,2
2017,Actual,11,0414,0414,Audubon,genopermtnc,General,Plant Operation and Maintenance,852,446671,300-599,2
2017,Actual,11,0414,0414,Audubon,gentransp,General,Student Transportation,399,208962,300-599,2
2017,Actual,11,0414,0414,Audubon,genaeaflow,General,AEA Support - Direct to AEA,391,205204,300-599,2
2017,Actual,11,0414,0414,Audubon,genendfb,General,Ending Fund Balance,2970,1556857,300-599,2
2017,Actual,12,0423,0423,Aurelia,geninstr,General,Instruction,9655,2362470,<300,1
2017,Actual,12,0423,0423,Aurelia,genstudsupp,General,Student Support Services,411,100585,<300,1
2017,Actual,12,0423,0423,Aurelia,geninstrsupp,General,Instructional Staff Support Services,256,62737,<300,1
2017,Actual,12,0423,0423,Aurelia,gengenadmin,General,General Administration,532,130165,<300,1
2017,Actual,12,0423,0423,Aurelia,genbldgadmin,General,School/Building Administration,537,131461,<300,1
2017,Actual,12,0423,0423,Aurelia,gencentraladmin,General,Business & Central Administration,334,81649,<300,1
2017,Actual,12,0423,0423,Aurelia,genopermtnc,General,Plant Operation and Maintenance,721,176514,<300,1
2017,Actual,12,0423,0423,Aurelia,gentransp,General,Student Transportation,561,137269,<300,1
2017,Actual,12,0423,0423,Aurelia,genaeaflow,General,AEA Support - Direct to AEA,420,102799,<300,1
2017,Actual,12,0423,0423,Aurelia,genotherfin,General,Transfers Out/Special Items/Down Adj,17,4106,<300,1
2017,Actual,12,0423,0423,Aurelia,genendfb,General,Ending Fund Balance,5621,1375469,<300,1
2017,Actual,07,0540,0540,BCLUW,geninstr,General,Instruction,7498,4285294,300-599,2
2017,Actual,07,0540,0540,BCLUW,genstudsupp,General,Student Support Services,339,193727,300-599,2
2017,Actual,07,0540,0540,BCLUW,geninstrsupp,General,Instructional Staff Support Services,497,284230,300-599,2
2017,Actual,07,0540,0540,BCLUW,gengenadmin,General,General Administration,377,215321,300-599,2
2017,Actual,07,0540,0540,BCLUW,genbldgadmin,General,School/Building Administration,767,438293,300-599,2
2017,Actual,07,0540,0540,BCLUW,gencentraladmin,General,Business & Central Administration,228,130473,300-599,2
2017,Actual,07,0540,0540,BCLUW,genopermtnc,General,Plant Operation and Maintenance,924,527844,300-599,2
2017,Actual,07,0540,0540,BCLUW,gentransp,General,Student Transportation,606,346099,300-599,2
2017,Actual,07,0540,0540,BCLUW,gennoninstr,General,Noninstructional Programs,4,2500,300-599,2
2017,Actual,07,0540,0540,BCLUW,genaeaflow,General,AEA Support - Direct to AEA,427,243814,300-599,2
2017,Actual,07,0540,0540,BCLUW,genotherfin,General,Transfers Out/Special Items/Down Adj,6,3245,300-599,2
2017,Actual,07,0540,0540,BCLUW,genendfb,General,Ending Fund Balance,3461,1978176,300-599,2
2017,Actual,11,0472,0472,Ballard,geninstr,General,Instruction,7302,11703629,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,genstudsupp,General,Student Support Services,371,594973,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,geninstrsupp,General,Instructional Staff Support Services,170,272273,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,gengenadmin,General,General Administration,400,641678,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,genbldgadmin,General,School/Building Administration,623,999119,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,gencentraladmin,General,Business & Central Administration,267,427516,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,genopermtnc,General,Plant Operation and Maintenance,918,1471995,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,gentransp,General,Student Transportation,402,643837,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,genaeaflow,General,AEA Support - Direct to AEA,407,652067,"1,000-2,499",4
2017,Actual,11,0472,0472,Ballard,genendfb,General,Ending Fund Balance,2885,4623509,"1,000-2,499",4
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,geninstr,General,Instruction,9448,6032585,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,genstudsupp,General,Student Support Services,240,153029,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,geninstrsupp,General,Instructional Staff Support Services,377,240957,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,gengenadmin,General,General Administration,402,256444,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,genbldgadmin,General,School/Building Administration,597,381126,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,gencentraladmin,General,Business & Central Administration,212,135125,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,genopermtnc,General,Plant Operation and Maintenance,812,518288,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,gentransp,General,Student Transportation,574,366783,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,genaeaflow,General,AEA Support - Direct to AEA,422,269554,600-999,3
2017,Actual,12,0504,0504,Battle Creek-Ida Grove,genendfb,General,Ending Fund Balance,2534,1618031,600-999,3
2017,Actual,11,0513,0513,Baxter,geninstr,General,Instruction,7966,2755396,300-599,2
2017,Actual,11,0513,0513,Baxter,genstudsupp,General,Student Support Services,348,120415,300-599,2
2017,Actual,11,0513,0513,Baxter,geninstrsupp,General,Instructional Staff Support Services,399,138129,300-599,2
2017,Actual,11,0513,0513,Baxter,gengenadmin,General,General Administration,651,225229,300-599,2
2017,Actual,11,0513,0513,Baxter,genbldgadmin,General,School/Building Administration,844,291847,300-599,2
2017,Actual,11,0513,0513,Baxter,gencentraladmin,General,Business & Central Administration,405,139970,300-599,2
2017,Actual,11,0513,0513,Baxter,genopermtnc,General,Plant Operation and Maintenance,997,344838,300-599,2
2017,Actual,11,0513,0513,Baxter,gentransp,General,Student Transportation,393,136014,300-599,2
