School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2017,Reading,11,0585,Bellevue Comm School District,35,42,83.3,80.1 - 90%,,,,,
2017,Math,11,0594,Belmond-Klemme Comm School District,37,48,77.1,70.1 - 80%,,,,,
2017,Reading,11,0594,Belmond-Klemme Comm School District,34,48,70.8,70.1 - 80%,,,,,
2017,Reading,11,0609,Benton Comm School District,101,114,88.6,80.1 - 90%,,,,,
2017,Math,11,0609,Benton Comm School District,100,114,87.7,80.1 - 90%,,,,,
2017,Math,11,0621,Bettendorf Comm School District,302,333,90.7,90.1 - 100%,,,,,
2017,Reading,11,0621,Bettendorf Comm School District,292,333,87.7,80.1 - 90%,,,,,
2017,Reading,11,0720,Bondurant-Farrar Comm School District,105,120,87.5,80.1 - 90%,,,,,
2017,Math,11,0720,Bondurant-Farrar Comm School District,108,121,89.3,80.1 - 90%,,,,,
2017,Reading,11,0729,Boone Comm School District,142,171,83.0,80.1 - 90%,,,,,
2017,Math,11,0729,Boone Comm School District,144,170,84.7,80.1 - 90%,,,,,
2017,Reading,11,0747,Boyden-Hull Comm School District,32,40,80.0,70.1 - 80%,,,,,
2017,Math,11,0747,Boyden-Hull Comm School District,36,40,90.0,80.1 - 90%,,,,,
2017,Reading,11,1917,Boyer Valley Comm School District,32,38,84.2,80.1 - 90%,,,,,
2017,Math,11,1917,Boyer Valley Comm School District,35,38,92.1,90.1 - 100%,,,,,
2017,Reading,11,0846,Brooklyn-Guernsey-Malcom Comm School District,28,34,82.4,80.1 - 90%,,,,,
2017,Math,11,0846,Brooklyn-Guernsey-Malcom Comm School District,30,34,88.2,80.1 - 90%,,,,,
2017,Reading,11,0882,Burlington Comm School District,171,239,71.5,70.1 - 80%,,,,,
2017,Math,11,0882,Burlington Comm School District,160,240,66.7,60.1 - 70%,,,,,
2017,Reading,11,0918,Calamus-Wheatland Comm School District,27,29,93.1,90.1 - 100%,,,,,
2017,Math,11,0918,Calamus-Wheatland Comm School District,28,29,96.6,90.1 - 100%,,,,,
2017,Math,11,0916,CAL Comm School District,16,21,76.2,70.1 - 80%,,,,,
2017,Reading,11,0916,CAL Comm School District,14,21,66.7,60.1 - 70%,,,,,
2017,Reading,11,0936,Camanche Comm School District,62,78,79.5,70.1 - 80%,,,,,
2017,Math,11,0936,Camanche Comm School District,62,78,79.5,70.1 - 80%,,,,,
2017,Math,11,0914,CAM Comm School District,52,75,69.3,60.1 - 70%,,,,,
2017,Reading,11,0914,CAM Comm School District,59,75,78.7,70.1 - 80%,,,,,
2017,Math,11,0977,Cardinal Comm School District,33,38,86.8,80.1 - 90%,,,,,
2017,Reading,11,0977,Cardinal Comm School District,31,38,81.6,80.1 - 90%,,,,,
2017,Math,11,0981,Carlisle Comm School District,129,143,90.2,90.1 - 100%,,,,,
2017,Reading,11,0981,Carlisle Comm School District,125,143,87.4,80.1 - 90%,,,,,
2017,Reading,11,0999,Carroll Comm School District,103,121,85.1,80.1 - 90%,,,,,
2017,Math,11,0999,Carroll Comm School District,106,121,87.6,80.1 - 90%,,,,,
2017,Math,11,1044,Cedar Falls Comm School District,305,329,92.7,90.1 - 100%,,,,,
2017,Reading,11,1044,Cedar Falls Comm School District,306,328,93.3,90.1 - 100%,,,,,
2017,Reading,11,1053,Cedar Rapids Comm School District,751,1031,72.8,70.1 - 80%,,,,,
2017,Math,11,1053,Cedar Rapids Comm School District,794,1031,77.0,70.1 - 80%,,,,,
2017,Math,11,1062,Center Point-Urbana Comm School District,103,109,94.5,90.1 - 100%,,,,,
2017,Reading,11,1062,Center Point-Urbana Comm School District,98,108,90.7,90.1 - 100%,,,,,
2017,Reading,11,1071,Centerville Comm School District,65,82,79.3,70.1 - 80%,,,,,
2017,Math,11,1071,Centerville Comm School District,70,82,85.4,80.1 - 90%,,,,,
2017,Reading,11,1089,Central City Comm School District,26,30,86.7,80.1 - 90%,,,,,
2017,Math,11,1089,Central City Comm School District,25,30,83.3,80.1 - 90%,,,,,
2017,Reading,11,1080,Central Comm School District,29,37,78.4,70.1 - 80%,,,,,
2017,Math,11,1080,Central Comm School District,28,37,75.7,70.1 - 80%,,,,,
2017,Reading,11,1093,Central Decatur Comm School District,33,36,91.7,90.1 - 100%,,,,,
2017,Math,11,1093,Central Decatur Comm School District,30,36,83.3,80.1 - 90%,,,,,
2017,Reading,11,1082,Central DeWitt School District,112,119,94.1,90.1 - 100%,,,,,
2017,Math,11,1082,Central DeWitt School District,105,120,87.5,80.1 - 90%,,,,,
2017,Reading,11,1079,Central Lee Comm School District,66,87,75.9,70.1 - 80%,,,,,
2017,Math,11,1079,Central Lee Comm School District,69,87,79.3,70.1 - 80%,,,,,
2017,Reading,11,1095,Central Lyon Comm School District,30,39,76.9,70.1 - 80%,,,,,
2017,Math,11,1095,Central Lyon Comm School District,35,39,89.7,80.1 - 90%,,,,,
2017,Reading,11,4772,Central Springs Comm School District,44,51,86.3,80.1 - 90%,,,,,
2017,Math,11,4772,Central Springs Comm School District,46,51,90.2,90.1 - 100%,,,,,
2017,Math,11,1107,Chariton Comm School District,67,88,76.1,70.1 - 80%,,,,,
2017,Reading,11,1107,Chariton Comm School District,64,88,72.7,70.1 - 80%,,,,,
2017,Math,11,1116,Charles City Comm School District,90,106,84.9,80.1 - 90%,,,,,
2017,Reading,11,1116,Charles City Comm School District,87,106,82.1,80.1 - 90%,,,,,
2017,Math,11,1134,Charter Oak-Ute Comm School District,11,14,78.6,70.1 - 80%,,,,,
2017,Reading,11,1134,Charter Oak-Ute Comm School District,7,14,50.0,40.1 - 50%,,,,,
2017,Math,11,1152,Cherokee Comm School District,57,66,86.4,80.1 - 90%,,,,,
2017,Reading,11,1152,Cherokee Comm School District,50,66,75.8,70.1 - 80%,,,,,
2017,Math,11,1197,Clarinda Comm School District,55,67,82.1,80.1 - 90%,,,,,
2017,Reading,11,1197,Clarinda Comm School District,51,67,76.1,70.1 - 80%,,,,,
2017,Math,11,1206,Clarion-Goldfield-Dows Comm School District,65,70,92.9,90.1 - 100%,,,,,
2017,Reading,11,1206,Clarion-Goldfield-Dows Comm School District,59,70,84.3,80.1 - 90%,,,,,
2017,Reading,11,1211,Clarke Comm School District,59,85,69.4,60.1 - 70%,,,,,
2017,Math,11,1211,Clarke Comm School District,69,85,81.2,80.1 - 90%,,,,,
2017,Reading,11,1215,Clarksville Comm School District,16,22,72.7,70.1 - 80%,,,,,
2017,Math,11,1215,Clarksville Comm School District,21,22,95.5,90.1 - 100%,,,,,
2017,Reading,11,1218,Clay Central-Everly Comm School District,14,21,66.7,60.1 - 70%,,,,,
2017,Math,11,1218,Clay Central-Everly Comm School District,16,21,76.2,70.1 - 80%,,,,,
2017,Math,11,2763,Clayton Ridge Comm School District,54,67,80.6,80.1 - 90%,,,,,
2017,Reading,11,2763,Clayton Ridge Comm School District,54,67,80.6,80.1 - 90%,,,,,
2017,Reading,11,1221,Clear Creek Amana Comm School District,84,107,78.5,70.1 - 80%,,,,,
2017,Math,11,1221,Clear Creek Amana Comm School District,79,107,73.8,70.1 - 80%,,,,,
2017,Math,11,1233,Clear Lake Comm School District,78,105,74.3,70.1 - 80%,,,,,
2017,Reading,11,1233,Clear Lake Comm School District,82,103,79.6,70.1 - 80%,,,,,
2017,Math,11,1278,Clinton Comm School District,157,199,78.9,70.1 - 80%,,,,,
2017,Reading,11,1278,Clinton Comm School District,147,194,75.8,70.1 - 80%,,,,,
2017,Reading,11,1332,Colfax-Mingo Comm School District,38,43,88.4,80.1 - 90%,,,,,
2017,Math,11,1332,Colfax-Mingo Comm School District,41,43,95.3,90.1 - 100%,,,,,
2017,Reading,11,1337,College Comm School District,280,358,78.2,70.1 - 80%,,,,,
2017,Math,11,1337,College Comm School District,299,359,83.3,80.1 - 90%,,,,,
2017,Math,11,1350,Collins-Maxwell Comm School District,30,33,90.9,90.1 - 100%,,,,,
2017,Reading,11,1350,Collins-Maxwell Comm School District,26,33,78.8,70.1 - 80%,,,,,
2017,Math,11,1359,Colo-NESCO Comm School District,30,32,93.8,90.1 - 100%,,,,,
2017,Reading,11,1359,Colo-NESCO Comm School District,25,32,78.1,70.1 - 80%,,,,,
2017,Reading,11,1368,Columbus Comm School District,27,47,57.4,50.1 - 60%,,,,,
2017,Math,11,1368,Columbus Comm School District,28,47,59.6,50.1 - 60%,,,,,
2017,Math,11,1413,Coon Rapids-Bayard Comm School District,26,30,86.7,80.1 - 90%,,,,,
2017,Reading,11,1413,Coon Rapids-Bayard Comm School District,29,30,96.7,90.1 - 100%,,,,,
2017,Math,11,1431,Corning Comm School District,37,43,86.0,80.1 - 90%,,,,,
2017,Reading,11,1431,Corning Comm School District,34,43,79.1,70.1 - 80%,,,,,
2017,Math,11,1476,Council Bluffs Comm School District,343,514,66.7,60.1 - 70%,,,,,
2017,Reading,11,1476,Council Bluffs Comm School District,336,517,65.0,60.1 - 70%,,,,,
2017,Reading,11,1503,Creston Comm School District,105,121,86.8,80.1 - 90%,,,,,
2017,Math,11,1503,Creston Comm School District,105,121,86.8,80.1 - 90%,,,,,
2017,Reading,11,1576,Dallas Center-Grimes Comm School District,159,185,85.9,80.1 - 90%,,,,,
2017,Math,11,1576,Dallas Center-Grimes Comm School District,167,185,90.3,90.1 - 100%,,,,,
2017,Math,11,1602,Danville Comm School District,34,39,87.2,80.1 - 90%,,,,,
2017,Reading,11,1602,Danville Comm School District,36,39,92.3,90.1 - 100%,,,,,
2017,Reading,11,1611,Davenport Comm School District,643,973,66.1,60.1 - 70%,,,,,
2017,Math,11,1611,Davenport Comm School District,680,969,70.2,70.1 - 80%,,,,,
2017,Reading,11,1619,Davis County Comm School District,53,69,76.8,70.1 - 80%,,,,,
2017,Math,11,1619,Davis County Comm School District,58,69,84.1,80.1 - 90%,,,,,
2017,Reading,11,1638,Decorah Community School District,118,125,94.4,90.1 - 100%,,,,,
2017,Math,11,1638,Decorah Community School District,120,125,96.0,90.1 - 100%,,,,,
2017,Reading,11,1701,Denison Comm School District,120,153,78.4,70.1 - 80%,,,,,
2017,Math,11,1701,Denison Comm School District,131,153,85.6,80.1 - 90%,,,,,
2017,Math,11,1719,Denver Comm School District,46,46,100.0,90.1 - 100%,,,,,
2017,Reading,11,1719,Denver Comm School District,44,46,95.7,90.1 - 100%,,,,,
2017,Math,11,1737,Des Moines Independent Comm School District,1159,1839,63.0,60.1 - 70%,,,,,
2017,Reading,11,1737,Des Moines Independent Comm School District,1176,1841,63.9,60.1 - 70%,,,,,
2017,Reading,11,1791,Dike-New Hartford Comm School District,40,57,70.2,70.1 - 80%,,,,,
2017,Math,11,1791,Dike-New Hartford Comm School District,44,57,77.2,70.1 - 80%,,,,,
2017,Math,11,1863,Dubuque Comm School District,589,719,81.9,80.1 - 90%,,,,,
2017,Reading,11,1863,Dubuque Comm School District,532,717,74.2,70.1 - 80%,,,,,
2017,Math,11,1908,Dunkerton Comm School District,24,36,66.7,60.1 - 70%,,,,,
2017,Reading,11,1908,Dunkerton Comm School District,27,36,75.0,70.1 - 80%,,,,,
2017,Math,11,1926,Durant Comm School District,38,50,76.0,70.1 - 80%,,,,,
2017,Reading,11,1926,Durant Comm School District,37,50,74.0,70.1 - 80%,,,,,
2017,Reading,11,1944,Eagle Grove Comm School District,30,48,62.5,60.1 - 70%,,,,,
2017,Math,11,1944,Eagle Grove Comm School District,34,48,70.8,70.1 - 80%,,,,,
2017,Math,11,1953,Earlham Comm School District,44,53,83.0,80.1 - 90%,,,,,
2017,Reading,11,1953,Earlham Comm School District,44,53,83.0,80.1 - 90%,,,,,
2017,Reading,11,1963,East Buchanan Comm School District,39,47,83.0,80.1 - 90%,,,,,
2017,Math,11,1963,East Buchanan Comm School District,41,47,87.2,80.1 - 90%,,,,,
2017,Reading,11,1972,Eastern Allamakee Comm School District,24,24,100.0,90.1 - 100%,,,,,
2017,Math,11,1972,Eastern Allamakee Comm School District,23,24,95.8,90.1 - 100%,,,,,
2017,Math,11,1968,East Marshall Comm School District,61,69,88.4,80.1 - 90%,,,,,
2017,Reading,11,1968,East Marshall Comm School District,56,69,81.2,80.1 - 90%,,,,,
2017,Reading,11,3978,East Mills Comm School District,23,24,95.8,90.1 - 100%,,,,,
2017,Math,11,3978,East Mills Comm School District,22,24,91.7,90.1 - 100%,,,,,
2017,Reading,11,1965,Easton Valley Comm School District,27,36,75.0,70.1 - 80%,,,,,
2017,Math,11,1965,Easton Valley Comm School District,33,36,91.7,90.1 - 100%,,,,,
2017,Math,11,6741,East Sac County Comm School District,48,66,72.7,70.1 - 80%,,,,,
2017,Reading,11,6741,East Sac County Comm School District,46,66,69.7,60.1 - 70%,,,,,
2017,Reading,11,1970,East Union Comm School District,25,31,80.6,80.1 - 90%,,,,,
2017,Math,11,1970,East Union Comm School District,24,31,77.4,70.1 - 80%,,,,,
2017,Reading,11,0657,Eddyville-Blakesburg- Fremont CSD,37,55,67.3,60.1 - 70%,,,,,
2017,Math,11,0657,Eddyville-Blakesburg- Fremont CSD,45,54,83.3,80.1 - 90%,,,,,
2017,Reading,11,1989,Edgewood-Colesburg Comm School District,26,38,68.4,60.1 - 70%,,,,,
2017,Math,11,1989,Edgewood-Colesburg Comm School District,30,38,78.9,70.1 - 80%,,,,,
2017,Reading,11,2007,Eldora-New Providence Comm School District,40,51,78.4,70.1 - 80%,,,,,
2017,Math,11,2007,Eldora-New Providence Comm School District,45,50,90.0,80.1 - 90%,,,,,
2017,Reading,11,2088,Emmetsburg Comm School District,40,55,72.7,70.1 - 80%,,,,,
2017,Math,11,2088,Emmetsburg Comm School District,49,55,89.1,80.1 - 90%,,,,,
2017,Math,11,2097,English Valleys Comm School District,21,23,91.3,90.1 - 100%,,,,,
2017,Reading,11,2097,English Valleys Comm School District,20,23,87.0,80.1 - 90%,,,,,
2017,Reading,11,2113,Essex Comm School District,11,17,64.7,60.1 - 70%,,,,,
2017,Math,11,2113,Essex Comm School District,16,16,100.0,90.1 - 100%,,,,,
2017,Reading,11,2124,Estherville Lincoln Central Com Sch Dist,73,93,78.5,70.1 - 80%,,,,,
2017,Math,11,2124,Estherville Lincoln Central Com Sch Dist,75,92,81.5,80.1 - 90%,,,,,
2017,Math,11,2151,Exira-Elk Horn- Kimballton Comm Sch Dist,24,25,96.0,90.1 - 100%,,,,,
2017,Reading,11,2151,Exira-Elk Horn- Kimballton Comm Sch Dist,19,25,76.0,70.1 - 80%,,,,,
2017,Math,11,2169,Fairfield Comm School District,80,103,77.7,70.1 - 80%,,,,,
2017,Reading,11,2169,Fairfield Comm School District,83,103,80.6,80.1 - 90%,,,,,
2017,Math,11,2295,Forest City Comm School District,80,92,87.0,80.1 - 90%,,,,,
2017,Reading,11,2295,Forest City Comm School District,81,93,87.1,80.1 - 90%,,,,,
2017,Math,11,2313,Fort Dodge Comm School District,187,250,74.8,70.1 - 80%,,,,,
2017,Reading,11,2313,Fort Dodge Comm School District,177,250,70.8,70.1 - 80%,,,,,
2017,Reading,11,2322,Fort Madison Comm School District,94,118,79.7,70.1 - 80%,,,,,
2017,Math,11,2322,Fort Madison Comm School District,95,116,81.9,80.1 - 90%,,,,,
2017,Math,11,2369,Fremont-Mills Comm School District,20,30,66.7,60.1 - 70%,,,,,
2017,Reading,11,2369,Fremont-Mills Comm School District,18,30,60.0,50.1 - 60%,,,,,
2017,Reading,11,2376,Galva-Holstein Comm School District,39,54,72.2,70.1 - 80%,,,,,
2017,Math,11,2376,Galva-Holstein Comm School District,42,54,77.8,70.1 - 80%,,,,,
2017,Math,11,2403,Garner-Hayfield-Ventura Comm School District,74,81,91.4,90.1 - 100%,,,,,
2017,Reading,11,2403,Garner-Hayfield-Ventura Comm School District,68,81,84.0,80.1 - 90%,,,,,
2017,Math,11,2457,George-Little Rock Comm School District,25,31,80.6,80.1 - 90%,,,,,
2017,Reading,11,2457,George-Little Rock Comm School District,22,31,71.0,70.1 - 80%,,,,,
2017,Reading,11,2466,Gilbert Comm School District,103,105,98.1,90.1 - 100%,,,,,
2017,Math,11,2466,Gilbert Comm School District,103,105,98.1,90.1 - 100%,,,,,
2017,Math,11,2502,Gladbrook-Reinbeck Comm School District,32,41,78.0,70.1 - 80%,,,,,
2017,Reading,11,2502,Gladbrook-Reinbeck Comm School District,27,41,65.9,60.1 - 70%,,,,,
2017,Reading,11,2511,Glenwood Comm School District,108,125,86.4,80.1 - 90%,,,,,
2017,Math,11,2511,Glenwood Comm School District,109,126,86.5,80.1 - 90%,,,,,
2017,Reading,11,2520,Glidden-Ralston Comm School District,14,17,82.4,80.1 - 90%,,,,,
2017,Math,11,2520,Glidden-Ralston Comm School District,15,17,88.2,80.1 - 90%,,,,,
2017,Reading,11,2682,GMG Comm School District,25,30,83.3,80.1 - 90%,,,,,
2017,Math,11,2682,GMG Comm School District,28,30,93.3,90.1 - 100%,,,,,
2017,Math,11,2556,Graettinger-Terril Comm School District,16,18,88.9,80.1 - 90%,,,,,
2017,Reading,11,2556,Graettinger-Terril Comm School District,16,18,88.9,80.1 - 90%,,,,,
2017,Math,11,3195,Greene County Comm School District,85,94,90.4,90.1 - 100%,,,,,
2017,Reading,11,3195,Greene County Comm School District,84,94,89.4,80.1 - 90%,,,,,
2017,Math,11,2709,Grinnell-Newburg Comm School District,111,121,91.7,90.1 - 100%,,,,,
2017,Reading,11,2709,Grinnell-Newburg Comm School District,107,122,87.7,80.1 - 90%,,,,,
2017,Math,11,2718,Griswold Comm School District,35,43,81.4,80.1 - 90%,,,,,
2017,Reading,11,2718,Griswold Comm School District,34,42,81.0,80.1 - 90%,,,,,
2017,Math,11,2727,Grundy Center Comm School District,41,44,93.2,90.1 - 100%,,,,,
2017,Reading,11,2727,Grundy Center Comm School District,39,44,88.6,80.1 - 90%,,,,,
2017,Reading,11,2754,Guthrie Center Comm School District,36,42,85.7,80.1 - 90%,,,,,
2017,Math,11,2754,Guthrie Center Comm School District,37,42,88.1,80.1 - 90%,,,,,
2017,Math,11,2781,Hampton-Dumont Comm School District,62,70,88.6,80.1 - 90%,,,,,
2017,Reading,11,2781,Hampton-Dumont Comm School District,54,70,77.1,70.1 - 80%,,,,,
2017,Reading,11,2826,Harlan Comm School District,117,133,88.0,80.1 - 90%,,,,,
2017,Math,11,2826,Harlan Comm School District,126,133,94.7,90.1 - 100%,,,,,
2017,Reading,11,2846,Harris-Lake Park Comm School District,18,19,94.7,90.1 - 100%,,,,,
2017,Math,11,2846,Harris-Lake Park Comm School District,19,19,100.0,90.1 - 100%,,,,,
2017,Math,11,2862,Hartley-Melvin-Sanborn Comm School District,27,34,79.4,70.1 - 80%,,,,,
2017,Reading,11,2862,Hartley-Melvin-Sanborn Comm School District,23,34,67.6,60.1 - 70%,,,,,
2017,Reading,11,2977,Highland Comm School District,35,44,79.5,70.1 - 80%,,,,,
2017,Math,11,2977,Highland Comm School District,38,44,86.4,80.1 - 90%,,,,,
2017,Reading,11,2988,Hinton Comm School District,41,48,85.4,80.1 - 90%,,,,,
2017,Math,11,2988,Hinton Comm School District,40,48,83.3,80.1 - 90%,,,,,
2017,Math,11,2766,H-L-V Comm School District,17,19,89.5,80.1 - 90%,,,,,
2017,Reading,11,2766,H-L-V Comm School District,16,19,84.2,80.1 - 90%,,,,,
2017,Reading,11,3029,Howard-Winneshiek Comm School District,70,89,78.7,70.1 - 80%,,,,,
2017,Math,11,3029,Howard-Winneshiek Comm School District,77,89,86.5,80.1 - 90%,,,,,
2017,Math,11,3042,Hudson Comm School District,43,44,97.7,90.1 - 100%,,,,,
2017,Reading,11,3042,Hudson Comm School District,40,44,90.9,90.1 - 100%,,,,,
2017,Math,11,3060,Humboldt Comm School District,96,101,95.0,90.1 - 100%,,,,,
2017,Reading,11,3060,Humboldt Comm School District,91,103,88.3,80.1 - 90%,,,,,
2017,Reading,11,3168,IKM-Manning Comm School District,36,43,83.7,80.1 - 90%,,,,,
2017,Math,11,3168,IKM-Manning Comm School District,35,43,81.4,80.1 - 90%,,,,,
2017,Reading,11,3105,Independence Comm School District,90,107,84.1,80.1 - 90%,,,,,
2017,Math,11,3105,Independence Comm School District,95,107,88.8,80.1 - 90%,,,,,
2017,Math,11,3114,Indianola Comm School District,206,240,85.8,80.1 - 90%,,,,,
2017,Reading,11,3114,Indianola Comm School District,203,240,84.6,80.1 - 90%,,,,,
2017,Math,11,3119,Interstate 35 Comm School District,59,67,88.1,80.1 - 90%,,,,,
2017,Reading,11,3119,Interstate 35 Comm School District,57,67,85.1,80.1 - 90%,,,,,
2017,Reading,11,3141,Iowa City Comm School District,680,871,78.1,70.1 - 80%,,,,,
2017,Math,11,3141,Iowa City Comm School District,737,870,84.7,80.1 - 90%,,,,,
2017,Math,11,3150,Iowa Falls Comm School District,80,96,83.3,80.1 - 90%,,,,,
2017,Reading,11,3150,Iowa Falls Comm School District,79,97,81.4,80.1 - 90%,,,,,
2017,Reading,11,3154,Iowa Valley Comm School District,21,28,75.0,70.1 - 80%,,,,,
2017,Math,11,3154,Iowa Valley Comm School District,25,28,89.3,80.1 - 90%,,,,,
2017,Reading,11,3186,Janesville Consolidated School District,24,27,88.9,80.1 - 90%,,,,,
2017,Math,11,3186,Janesville Consolidated School District,23,27,85.2,80.1 - 90%,,,,,
2017,Math,11,3204,Jesup Comm School District,46,49,93.9,90.1 - 100%,,,,,
2017,Reading,11,3204,Jesup Comm School District,43,49,87.8,80.1 - 90%,,,,,
2017,Reading,11,3231,Johnston Comm School District,416,467,89.1,80.1 - 90%,,,,,
2017,Math,11,3231,Johnston Comm School District,430,468,91.9,90.1 - 100%,,,,,
2017,Reading,11,3312,Keokuk Comm School District,88,127,69.3,60.1 - 70%,,,,,
2017,Math,11,3312,Keokuk Comm School District,91,125,72.8,70.1 - 80%,,,,,
2017,Math,11,3330,Keota Comm School District,17,20,85.0,80.1 - 90%,,,,,
2017,Reading,11,3330,Keota Comm School District,16,20,80.0,70.1 - 80%,,,,,
2017,Reading,11,3348,Kingsley-Pierson Comm School District,31,37,83.8,80.1 - 90%,,,,,
2017,Math,11,3348,Kingsley-Pierson Comm School District,31,37,83.8,80.1 - 90%,,,,,
2017,Reading,11,3375,Knoxville Comm School District,79,108,73.1,70.1 - 80%,,,,,
2017,Math,11,3375,Knoxville Comm School District,93,108,86.1,80.1 - 90%,,,,,
2017,Math,11,3420,Lake Mills Comm School District,47,51,92.2,90.1 - 100%,,,,,
2017,Reading,11,3420,Lake Mills Comm School District,41,52,78.8,70.1 - 80%,,,,,
2017,Math,11,3465,Lamoni Comm School District,21,27,77.8,70.1 - 80%,,,,,
2017,Reading,11,3465,Lamoni Comm School District,14,27,51.9,50.1 - 60%,,,,,
2017,Math,11,3555,Lawton-Bronson Comm School District,30,35,85.7,80.1 - 90%,,,,,
2017,Reading,11,3555,Lawton-Bronson Comm School District,30,35,85.7,80.1 - 90%,,,,,
2017,Math,11,3600,Le Mars Comm School District,132,151,87.4,80.1 - 90%,,,,,
2017,Reading,11,3600,Le Mars Comm School District,127,151,84.1,80.1 - 90%,,,,,
2017,Math,11,3609,Lenox Comm School District,24,30,80.0,70.1 - 80%,,,,,
2017,Reading,11,3609,Lenox Comm School District,27,30,90.0,80.1 - 90%,,,,,
2017,Reading,11,3645,Lewis Central Comm School District,186,225,82.7,80.1 - 90%,,,,,
2017,Math,11,3645,Lewis Central Comm School District,192,225,85.3,80.1 - 90%,,,,,
